name,rank,points,2023-04-22_Enschede_rank,2023-04-22_Enschede_points,2023-05-27_Groningen_rank,2023-05-27_Groningen_points,2023-06-17_Amsterdam_rank,2023-06-17_Amsterdam_points,2023-09-02_NK_rank,2023-09-02_NK_points,2023-11-26_Enschede_rank,2023-11-26_Enschede_points,2024-01-20_Amsterdam_rank,2024-01-20_Amsterdam_points,2024-02-11_Groningen_rank,2024-02-11_Groningen_points,2024-04-06_Enschede_rank,2024-04-06_Enschede_points,2024-05-04_Groningen_rank,2024-05-04_Groningen_points,2024-06-01_Amsterdam_rank,2024-06-01_Amsterdam_points,2024-06-29_NK_rank,2024-06-29_NK_points
Mathijs de Groot,155,276,,,,,24.0,276.0,,,,,,,,,,,,,,,,
Jesse M,155,276,,,,,21.0,276.0,,,,,,,,,,,,,,,,
Niels van Oostrum,157,246,,,,,,,,,,,,,,,,,,,,,17.0,246.0
Thomas van Echtelt,157,246,,,,,,,,,,,,,,,,,,,,,20.0,246.0
Liam van Hees,157,246,,,,,,,,,,,,,,,,,,,,,19.0,246.0
Tom Gobee,157,246,,,,,,,,,,,,,,,,,,,,,20.0,246.0
Bas Rudolphy,157,246,,,,,,,,,,,,,,,,,,,,,18.0,246.0
Stef Boot,157,246,,,,,,,,,,,,,,,,,,,,,19.0,246.0
Rowan Westerduin,157,246,,,,,,,,,,,,,,,,,,,,,17.0,246.0
Miguel Dionisio,164,234,,,,,,,,,,,,,,,17.0,234.0,,,,,,
Teo Constantinescu,164,234,,,,,,,,,,,,,,,17.0,234.0,,,,,,
Klaas Weinrich,166,230,,,,,27.0,230.0,,,,,,,,,,,,,,,,
Luuk vd Klein,166,230,,,,,26.0,230.0,,,,,,,,,,,,,,,,
Leon Vauterin,166,230,,,,,31.0,230.0,,,,,,,,,,,,,,,,
Jake King,166,230,,,,,27.0,230.0,,,,,,,,,,,,,,,,
Alexandre Tauziède,166,230,,,,,32.0,230.0,,,,,,,,,,,,,,,,
Jakob Biebuyck,166,230,,,,,31.0,230.0,,,,,,,,,,,,,,,,
Daan van Velsen,166,230,,,,,26.0,230.0,,,,,,,,,,,,,,,,
Martijn Alberts,166,230,,,,,28.0,230.0,,,,,,,,,,,,,,,,
Mustafa Durgun,166,230,,,,,32.0,230.0,,,,,,,,,,,,,,,,
Anicea Saliba,175,228,,,,,,,,,,,,,,,,,,,17.0,228.0,,
Sanne Schra,176,225,,,,,,,,,,,,,,,,,17.0,225.0,,,,
Milan Sent,176,225,15.0,225.0,,,,,,,,,,,,,,,,,,,,
Adam Drong,176,225,,,,,,,,,,,,,,,,,18.0,225.0,,,,
Solange Schrijnder van Velzen,176,225,16.0,225.0,,,,,,,,,,,,,,,,,,,,
Guillaume Paris,176,225,,,,,,,,,,,,,,,,,18.0,225.0,,,,
Marian Haydn,181,222,,,,,,,,,,,,,19.0,222.0,,,,,,,,
steven biemans,181,222,,,,,,,,,,,23.0,222.0,,,,,,,,,,
Singrid Feitosa Alexandrino,181,222,,,,,,,,,,,19.0,222.0,,,,,,,,,,
Antoine Sapena,181,222,,,,,,,,,,,21.0,222.0,,,,,,,,,,
Lorenz Theobald,181,222,,,,,,,,,,,,,17.0,222.0,,,,,,,,
Pieter-Jan Zwaan,181,222,,,,,,,,,,,17.0,222.0,,,,,,,,,,
Remy Rousselle,181,222,,,,,,,,,,,21.0,222.0,,,,,,,,,,
Bauke van der Kooij,181,222,,,,,,,,,,,,,18.0,222.0,,,,,,,,
Carel Van Goch,181,222,,,,,,,,,,,23.0,222.0,,,,,,,,,,
Gijs van Gerwen,181,222,,,,,,,,,,,18.0,222.0,,,,,,,,,,
Lieze Dockx,181,222,,,,,,,,,,,17.0,222.0,,,,,,,,,,
Franka Etzel,181,222,,,,,,,,,,,,,17.0,222.0,,,,,,,,
Rianne Voerman,181,222,,,,,,,,,,,22.0,222.0,,,,,,,,,,
Sanne Hogesteeger,194,204,,,21.0,204.0,,,,,,,,,,,,,,,,,,
thomas haan,194,204,,,17.0,204.0,,,,,,,,,,,,,,,,,,
Cristina Bogdan,194,204,,,21.0,204.0,,,,,,,,,,,,,,,,,,
Matthew Elworthy,197,185,,,,,,,,,,,26.0,185.0,,,,,,,,,,
Leonoor Schiphorst,197,185,,,,,,,,,,,27.0,185.0,,,,,,,,,,
Vishesh Sawhney,197,185,,,,,,,,,,,25.0,185.0,,,,,,,,,,
J van Wijhe,197,185,,,,,,,,,,,26.0,185.0,,,,,,,,,,
Emiel Prikkel,197,185,,,,,,,,,,,28.0,185.0,,,,,,,,,,
Iris Bunnig,197,185,,,,,,,,,,,27.0,185.0,,,,,,,,,,
Nicole IJff,197,185,,,,,,,,,,,25.0,185.0,,,,,,,,,,
Nadja van Kessel,197,185,,,,,,,,,,,28.0,185.0,,,,,,,,,,
sylvester productions,205,184,,,,,39.0,184.0,,,,,,,,,,,,,,,,
Thomas Dajer,205,184,,,,,34.0,184.0,,,,,,,,,,,,,,,,
Lise Pieper,205,184,,,,,36.0,184.0,,,,,,,,,,,,,,,,
Justus Urbanetz,205,184,,,,,38.0,184.0,,,,,,,,,,,,,,,,
Paul Schmidt,205,184,,,,,33.0,184.0,,,,,,,,,,,,,,,,
Anna Junk,205,184,,,,,35.0,184.0,,,,,,,,,,,,,,,,
Stan Lochtenberg,205,184,,,,,33.0,184.0,,,,,,,,,,,,,,,,
Kartik Jain,205,184,,,,,35.0,184.0,,,,,,,,,,,,,,,,
Laura Kremer,205,184,,,,,38.0,184.0,,,,,,,,,,,,,,,,
vishesh sawhney,205,184,,,,,34.0,184.0,,,,,,,,,,,,,,,,
Nick Delventhal,215,150,22.0,150.0,,,,,,,,,,,,,,,,,,,,
Joel Cetra,215,150,19.0,150.0,,,,,,,,,,,,,,,,,,,,
Alex Sikotorski,215,150,18.0,150.0,,,,,,,,,,,,,,,,,,,,
Ben Andres,215,150,22.0,150.0,,,,,,,,,,,,,,,,,,,,
Benita Hansen,215,150,19.0,150.0,,,,,,,,,,,,,,,,,,,,
Jacques P,215,150,18.0,150.0,,,,,,,,,,,,,,,,,,,,
Khymo Moestadja,221,138,,,,,41.0,138.0,,,,,,,,,,,,,,,,
Mayu Nagayama,221,138,,,,,42.0,138.0,,,,,,,,,,,,,,,,
Genta Sekine,221,138,,,,,42.0,138.0,,,,,,,,,,,,,,,,
Toon Van holthe,221,138,,,,,41.0,138.0,,,,,,,,,,,,,,,,
Peter Sesler,225,125,32.0,125.0,,,,,,,,,,,,,,,,,,,,
Shauny Dieltjes,225,125,27.0,125.0,,,,,,,,,,,,,,,,,,,,
Said Lachhab,225,125,25.0,125.0,,,,,,,,,,,,,,,,,,,,
Maximilian Knoll,225,125,32.0,125.0,,,,,,,,,,,,,,,,,,,,
Wouter van der Heijden,225,125,31.0,125.0,,,,,,,,,,,,,,,,,,,,
Berend Poos,225,125,31.0,125.0,,,,,,,,,,,,,,,,,,,,
Thomas van Geest,225,125,26.0,125.0,,,,,,,,,,,,,,,,,,,,
arno waszink,225,125,25.0,125.0,,,,,,,,,,,,,,,,,,,,
Lauritz Dauer,225,125,30.0,125.0,,,,,,,,,,,,,,,,,,,,
David van Beijnhem,234,100,33.0,100.0,,,,,,,,,,,,,,,,,,,,
Anneke Poelen,234,100,34.0,100.0,,,,,,,,,,,,,,,,,,,,
Joep Schotsman,234,100,35.0,100.0,,,,,,,,,,,,,,,,,,,,
Thieri Balk,234,100,34.0,100.0,,,,,,,,,,,,,,,,,,,,
